# BRON: KONINKLIJK NEDERLANDS METEOROLOGISCH INSTITUUT (KNMI)
# Opmerking: door stationsverplaatsingen en veranderingen in waarneemmethodieken zijn deze tijdreeksen van dagwaarden mogelijk inhomogeen! Dat betekent dat deze reeks van gemeten waarden niet geschikt is voor trendanalyse. Voor studies naar klimaatverandering verwijzen we naar de gehomogeniseerde reeks maandtemperaturen van De Bilt <http://www.knmi.nl/kennis-en-datacentrum/achtergrond/gehomogeniseerde-reeks-maandtemperaturen-de-bilt> of de Centraal Nederland Temperatuur <http://www.knmi.nl/kennis-en-datacentrum/achtergrond/centraal-nederland-temperatuur-cnt>.
# 
# 
# STN      LON(east)   LAT(north)     ALT(m)  NAME
# 260:         5.180       52.100       1.90  DE BILT
# 
# YYYYMMDD = Datum (YYYY=jaar MM=maand DD=dag); 
# TG       = Etmaalgemiddelde temperatuur (in 0.1 graden Celsius); 
# TN       = Minimum temperatuur (in 0.1 graden Celsius); 
# TX       = Maximum temperatuur (in 0.1 graden Celsius); 
# 
# STN,YYYYMMDD,   TG,   TN,   TX
# 
  260,20150408,   86,   39,  142
  260,20150409,  104,   19,  181
  260,20150410,  113,   27,  196
  260,20150411,   90,   26,  136
  260,20150412,  100,   21,  155
  260,20150413,   84,   41,  128
  260,20150414,  119,   32,  200
  260,20150415,  138,   54,  230
  260,20150416,   99,   64,  134
  260,20150417,   85,   52,  129
  260,20150418,   90,   41,  144
  260,20150419,   78,   -6,  152
  260,20150420,  109,   43,  171
  260,20150421,  100,   22,  174
  260,20150422,   85,   34,  121
  260,20150423,   94,   37,  155
  260,20150424,  124,   15,  204
  260,20150425,  121,   86,  150
  260,20150426,  106,   79,  139
  260,20150427,   80,   -3,  126
  260,20150428,   60,  -22,  118
  260,20150429,   89,   14,  147
  260,20150430,   98,   58,  142
  260,20150501,   87,   31,  133
  260,20150502,   97,    4,  158
  260,20150503,  130,   69,  170
  260,20150504,  154,  117,  194
  260,20150505,  154,   86,  222
  260,20150506,  122,   85,  155
  260,20150507,  118,   75,  162
  260,20150508,  142,   78,  194
  260,20150509,  133,   91,  161
  260,20150510,  128,   42,  191
  260,20150511,  176,   91,  256
  260,20150512,  146,  112,  175
  260,20150513,  127,   76,  181
  260,20150514,  112,   59,  167
  260,20150515,   94,   39,  144
  260,20150516,  105,   41,  149
  260,20150517,  119,   68,  162
  260,20150518,  111,   77,  140
  260,20150519,  100,   74,  137
  260,20150520,  105,   67,  147
  260,20150521,  119,   25,  174
  260,20150522,  149,   86,  199
  260,20150523,  124,   60,  157
  260,20150524,  126,   25,  199
  260,20150525,  124,   97,  153
  260,20150526,  118,   75,  158
  260,20150527,  135,   54,  189
  260,20150528,  129,   57,  165
  260,20150529,  111,   56,  158
  260,20150530,  112,   66,  154
  260,20150531,  126,   79,  165
  260,20150601,  127,   61,  161
  260,20150602,  148,  111,  177
  260,20150603,  138,   63,  177
  260,20150604,  156,   46,  220
  260,20150605,  214,   95,  318
  260,20150606,  156,   85,  189
  260,20150607,  139,   71,  189
  260,20150608,  125,   79,  172
  260,20150609,  116,   75,  150
  260,20150610,  154,   89,  208
  260,20150611,  179,   93,  240
  260,20150612,  216,  128,  274
  260,20150613,  175,  141,  213
  260,20150614,  153,  123,  195
  260,20150615,  133,   76,  175
  260,20150616,  114,   45,  177
  260,20150617,  160,   53,  227
  260,20150618,  143,  115,  166
  260,20150619,  127,  103,  153
  260,20150620,  130,   97,  163
  260,20150621,  144,  121,  185
  260,20150622,  127,   76,  153
  260,20150623,  126,   94,  151
  260,20150624,  158,  117,  215
  260,20150625,  182,  114,  240
  260,20150626,  205,  134,  250
  260,20150627,  176,  103,  218
  260,20150628,  173,   88,  232
  260,20150629,  180,  112,  242
  260,20150630,  206,   97,  273
  260,20150701,  260,  158,  331
  260,20150702,  254,  190,  331
  260,20150703,  241,  169,  291
  260,20150704,  256,  179,  327
  260,20150705,  202,  157,  282
  260,20150706,  187,  139,  238
  260,20150707,  198,  125,  258
  260,20150708,  159,  127,  196
  260,20150709,  135,   72,  176
  260,20150710,  165,   68,  226
  260,20150711,  204,  139,  287
  260,20150712,  177,  156,  204
  260,20150713,  174,  163,  196
  260,20150714,  179,  140,  213
  260,20150715,  179,  144,  211
  260,20150716,  196,  120,  251
  260,20150717,  217,  175,  256
  260,20150718,  182,  145,  221
  260,20150719,  162,  119,  205
  260,20150720,  178,   96,  214
  260,20150721,  210,  175,  254
  260,20150722,  195,  163,  231
  260,20150723,  178,  136,  217
  260,20150724,  184,  134,  233
  260,20150725,  149,  112,  183
  260,20150726,  148,   86,  209
  260,20150727,  166,  142,  197
  260,20150728,  152,  125,  189
  260,20150729,  141,  109,  176
  260,20150730,  138,   76,  181
  260,20150731,  133,   51,  194
  260,20150801,  151,   61,  220
  260,20150802,  177,   77,  242
  260,20150803,  215,  124,  300
  260,20150804,  180,  138,  215
  260,20150805,  189,  103,  250
  260,20150806,  205,  133,  284
  260,20150807,  206,  126,  270
  260,20150808,  187,  130,  230
  260,20150809,  186,  103,  243
  260,20150810,  198,  147,  252
  260,20150811,  200,  137,  254
  260,20150812,  195,  163,  230
  260,20150813,  217,  146,  284
  260,20150814,  209,  169,  254
  260,20150815,  184,  158,  221
  260,20150816,  150,  129,  166
  260,20150817,  143,  129,  152
  260,20150818,  146,  134,  168
  260,20150819,  165,  116,  225
  260,20150820,  179,  104,  249
  260,20150821,  197,  137,  253
  260,20150822,  207,  141,  265
  260,20150823,  197,  149,  259
  260,20150824,  179,  133,  231
  260,20150825,  167,  140,  199
  260,20150826,  202,  165,  252
  260,20150827,  157,  135,  185
  260,20150828,  154,   98,  209
  260,20150829,  170,   81,  236
  260,20150830,  200,  145,  253
  260,20150831,  209,  175,  265
  260,20150901,  161,  120,  195
  260,20150902,  132,   79,  188
  260,20150903,  122,   66,  171
  260,20150904,  135,  116,  166
  260,20150905,  132,   93,  169
  260,20150906,  131,   91,  170
  260,20150907,  142,  123,  169
  260,20150908,  139,   82,  169
  260,20150909,  131,   71,  185
  260,20150910,  143,   91,  196
  260,20150911,  143,   93,  201
  260,20150912,  157,  113,  202
  260,20150913,  166,  125,  194
  260,20150914,  145,  113,  198
  260,20150915,  125,   98,  159
  260,20150916,  154,  110,  192
  260,20150917,  144,  125,  164
  260,20150918,  139,   99,  184
  260,20150919,  134,   85,  175
  260,20150920,  135,   71,  181
  260,20150921,  146,  110,  186
  260,20150922,  131,   91,  174
  260,20150923,  132,  104,  173
  260,20150924,  126,  108,  157
  260,20150925,  116,   52,  168
  260,20150926,  104,   34,  168
  260,20150927,  110,   46,  175
  260,20150928,  105,   44,  160
  260,20150929,  117,   58,  174
  260,20150930,  123,   81,  175
  260,20151001,  106,   49,  169
  260,20151002,  103,   33,  183
  260,20151003,  103,   44,  188
  260,20151004,  103,   46,  179
  260,20151005,  131,   57,  169
  260,20151006,  153,  131,  176
  260,20151007,  149,  137,  176
  260,20151008,  124,   58,  159
  260,20151009,  102,   40,  163
  260,20151010,  109,   59,  143
  260,20151011,   65,   23,  115
  260,20151012,   48,    9,  102
  260,20151013,   38,   12,   59
  260,20151014,   51,   20,   80
  260,20151015,   63,   28,   80
  260,20151016,   77,   67,   84
  260,20151017,   81,   73,   90
  260,20151018,   84,   37,  109
  260,20151019,  105,   52,  125
  260,20151020,   95,   51,  126
  260,20151021,   97,   47,  125
  260,20151022,  119,   72,  148
  260,20151023,  114,   68,  141
  260,20151024,  118,  101,  138
  260,20151025,   99,   30,  143
  260,20151026,  105,   30,  158
  260,20151027,  111,   59,  173
  260,20151028,  106,   72,  133
  260,20151029,  107,   49,  156
  260,20151030,  102,   65,  150
  260,20151031,   98,   65,  143
  260,20151101,   77,   30,  160
  260,20151102,   69,    9,  159
  260,20151103,   90,   13,  157
  260,20151104,  122,   77,  154
  260,20151105,  133,  112,  154
  260,20151106,  155,  139,  171
  260,20151107,  164,  141,  185
  260,20151108,  131,   76,  173
  260,20151109,  136,  120,  160
  260,20151110,  145,  133,  156
  260,20151111,  127,  116,  138
  260,20151112,  133,  117,  153
  260,20151113,  114,   77,  136
  260,20151114,   97,   77,  119
  260,20151115,  143,  119,  150
  260,20151116,  125,  113,  137
  260,20151117,  135,  109,  156
  260,20151118,  131,  110,  145
  260,20151119,  112,   82,  138
  260,20151120,   79,   48,   97
  260,20151121,   43,    8,   63
  260,20151122,   26,    0,   57
  260,20151123,   32,  -26,   80
  260,20151124,   42,   31,   66
  260,20151125,   54,   22,   79
  260,20151126,   40,    0,   96
  260,20151127,   45,    8,   65
  260,20151128,   67,   45,   87
  260,20151129,  102,   74,  125
  260,20151130,   95,   65,  126
  260,20151201,   97,   68,  124
  260,20151202,  110,   94,  119
  260,20151203,   98,   84,  127
  260,20151204,   94,   82,  112
  260,20151205,   79,   72,   91
  260,20151206,  105,   74,  124
  260,20151207,  105,   88,  124
  260,20151208,   98,   73,  120
  260,20151209,   76,   54,   99
  260,20151210,   59,   49,   77
  260,20151211,   70,   54,   88
  260,20151212,   76,   33,  117
  260,20151213,   68,   39,  117
  260,20151214,   76,   64,  100
  260,20151215,   74,   48,   91
  260,20151216,  114,   89,  129
  260,20151217,  136,  124,  153
  260,20151218,  118,  106,  130
  260,20151219,  122,  106,  141
  260,20151220,  116,   97,  137
  260,20151221,  104,   84,  118
  260,20151222,  130,  103,  144
  260,20151223,  106,   73,  133
  260,20151224,   98,   64,  134
  260,20151225,   96,   65,  140
  260,20151226,  131,  111,  144
  260,20151227,  118,  102,  131
  260,20151228,   89,   65,  121
  260,20151229,   75,   54,  103
  260,20151230,   69,   49,   91
  260,20151231,   78,   55,  105
